Ticker,Security Name,Weight (%),Sector,Country,Asset Class
601601,CHINA PACIFIC INSURANCE (GROUP) LT,0.08,Financials,China,Equity
1044,HENGAN INTERNATIONAL GROUP LTD,0.08,Consumer Staples,China,Equity
6181,LAOPU GOLD LTD H,0.08,Consumer Discretionary,China,Equity
3898,ZHUZHOU CRRC TIMES ELECTRIC LTD H,0.08,Industrials,China,Equity
136,CHINA RUYI HOLDINGS LTD,0.08,Communication,China,Equity
916,CHINA LONGYUAN POWER GROUP CORP LT,0.08,Utilities,China,Equity
601816,BEIJING-SHANGHAI HIGH SPEED RAILWA,0.08,Industrials,China,Equity
002714,MUYUAN FOODS LTD A,0.08,Consumer Staples,China,Equity
392,BEIJING ENTERPRISES HOLDINGS LTD,0.07,Utilities,China,Equity
601857,PETROCHINA LTD A,0.07,Energy,China,Equity
390,CHINA RAILWAY GROUP LTD H,0.07,Industrials,China,Equity
601225,SHAANXI COAL INDUSTRY LTD A,0.07,Energy,China,Equity
601211,GUOTAI HAITONG SECURITIES LTD A,0.07,Financials,China,Equity
603986,GIGADEVICE SEMICONDUCTOR INC A,0.07,Information Technology,China,Equity
LEGN,LEGEND BIOTECH ADR REP CORP,0.07,Health Care,China,Equity
3618,CHONGQING RURAL COMMERCIAL BANK LT,0.07,Financials,China,Equity
2228,XTALPI HOLDINGS LTD,0.07,Health Care,China,Equity
601988,BANK OF CHINA LTD A,0.07,Financials,China,Equity
1585,YADEA GROUP HOLDINGS LTD,0.07,Consumer Discretionary,China,Equity
688008,MONTAGE TECHNOLOGY LTD A,0.07,Information Technology,China,Equity
2883,CHINA OILFIELD SERVICES LTD H,0.07,Energy,China,Equity
1908,C D INTERNATIONAL INVESTMENT GROUP,0.07,Real Estate,China,Equity
000001,PING AN BANK LTD A,0.07,Financials,China,Equity
002916,SHENNAN CIRCUITS LTD A,0.07,Information Technology,China,Equity
300760,SHENZHEN MINDRAY BIO-MEDICAL ELECT,0.07,Health Care,China,Equity
1882,HAITIAN INTERNATIONAL LTD,0.07,Industrials,China,Equity
002142,BANK OF NINGBO LTD A,0.07,Financials,China,Equity
002463,WUS PRINTED CIRCUIT (KUNSHAN) LTD,0.07,Information Technology,China,Equity
601939,CHINA CONSTRUCTION BANK CORP A,0.07,Financials,China,Equity
XTSLA,BLK CSH FND TREASURY SL AGENCY,0.07,Cash and/or Derivatives,United States,Money Market
9896,MINISO GROUP HOLDING LTD,0.07,Consumer Discretionary,China,Equity
600406,NARI TECHNOLOGY LTD A,0.07,Industrials,China,Equity
2026,PONY AI INC,0.07,Information Technology,China,Equity
600919,BANK OF JIANGSU CORPORATION LTD A,0.07,Financials,China,Equity
601668,CHINA STATE CONSTRUCTION ENGINEERI,0.06,Industrials,China,Equity
600111,CHINA NORTHERN RARE EARTH (GROUP),0.06,Materials,China,Equity
968,XINYI SOLAR HOLDINGS LTD,0.06,Information Technology,China,Equity
600183,SHENGYI TECHNOLOGY LTD A,0.06,Information Technology,China,Equity
600989,NINGXIA BAOFENG ENERGY GROUP LTD A,0.06,Materials,China,Equity
000338,WEICHAI POWER LTD A,0.06,Industrials,China,Equity
177,JIANGSU EXPRESSWAY LTD H,0.06,Industrials,China,Equity
300033,HITHINK ROYALFLUSH INFORMATION NET,0.06,Financials,China,Equity
600487,HENGTONG OPTIC ELECTRIC LTD A,0.06,Information Technology,China,Equity
601985,CHINA NATIONAL NUCLEAR POWER LTD A,0.06,Utilities,China,Equity
000792,QINGHAI SALT LAKE INDUSTRY LTD A,0.06,Materials,China,Equity
3311,CHINA STATE CONSTRUCTION INTERNATI,0.06,Industrials,China,Equity
002352,S.F. HOLDING LTD A,0.06,Industrials,China,Equity
603288,FOSHAN HAI TIAN FLAVOURING & FOOD,0.06,Consumer Staples,China,Equity
6186,CHINA FEIHE LTD,0.06,Consumer Staples,China,Equity
601919,COSCO SHIPPING HOLDINGS LTD A,0.06,Industrials,China,Equity
002938,AVARY HOLDING (SHENZHEN) LTD A,0.06,Information Technology,China,Equity
688012,ADVANCED MICRO-FABRICATION EQUIPME,0.06,Information Technology,China,Equity
600887,INNER MONGOLIA YILI INDUSTRIAL GRO,0.05,Consumer Staples,China,Equity
600809,SHANXI XINGHUACUN FEN WINE FACTORY,0.05,Consumer Staples,China,Equity
600031,SANY HEAVY INDUSTRY LTD A,0.05,Industrials,China,Equity
2380,CHINA POWER INTERNATIONAL DEVELOPM,0.05,Utilities,China,Equity
2367,GIANT BIOGENE HOLDING LTD,0.05,Consumer Staples,China,Equity
600028,CHINA PETROLEUM & CHEMICAL CORP A,0.05,Energy,China,Equity
300408,CHAOZHOU THREE-CIRCLE (GROUP) LTD,0.05,Information Technology,China,Equity
772,CHINA LITERATURE LTD,0.05,Communication,China,Equity
301308,SHENZHEN LONGSYS ELECTRONICS LTD A,0.05,Information Technology,China,Equity
9899,NETEASE CLOUD MUSIC INC,0.05,Communication,China,Equity
002281,ACCELINK TECHNOLOGIES LTD A,0.05,Information Technology,China,Equity
000063,ZTE CORP A,0.05,Information Technology,China,Equity
000725,BOE TECHNOLOGY GROUP LTD A,0.05,Information Technology,China,Equity
601658,POSTAL SAVINGS BANK OF CHINA LTD A,0.05,Financials,China,Equity
601100,JIANGSU HENGLI HYDRAULIC LTD A,0.05,Industrials,China,Equity
002353,YANTAI JEREH OILFIELD SERVICES GRO,0.05,Energy,China,Equity
601872,CHINA MERCHANTS ENERGY SHIPPING LT,0.05,Energy,China,Equity
600176,CHINA JUSHI LTD A,0.05,Materials,China,Equity
600346,HENGLI PETROCHEMICAL LTD A,0.05,Materials,China,Equity
2799,CHINA CITIC FIN ASSET MGT LTD H,0.05,Financials,China,Equity
601127,SERES GROUP LTD A,0.05,Consumer Discretionary,China,Equity
300857,SHARETRONIC DATA TECHNOLOGY LTD A,0.05,Information Technology,China,Equity
601600,ALUMINUM CORPORATION OF CHINA LTD,0.05,Materials,China,Equity
000568,LUZHOU LAO JIAO LTD A,0.05,Consumer Staples,China,Equity
300014,EVE ENERGY LTD A,0.05,Industrials,China,Equity
601766,CRRC CORP LTD A,0.05,Industrials,China,Equity
2357,AVICHINA INDUSTRY & TECHNOLOGY LTD,0.05,Industrials,China,Equity
002460,GANFENG LITHIUM GROUP LTD A,0.05,Materials,China,Equity
601818,CHINA EVERBRIGHT BANK LTD A,0.05,Financials,China,Equity
001309,SHENZHEN TECHWINSEMI TECHNOLOGY LT,0.05,Information Technology,China,Equity
601688,HUATAI SECURITIES LTD A,0.05,Financials,China,Equity
688525,BIWIN STORAGE TECHNOLOGY LTD A,0.05,Information Technology,China,Equity
688498,YUANJIE SEMICONDUCTOR TECHNOLOGY L,0.04,Information Technology,China,Equity
600019,BAOSHAN IRON & STEEL LTD A,0.04,Materials,China,Equity
000408,ZANGGE MINING LTD A,0.04,Materials,China,Equity
600050,CHINA UNITED NETWORK COMMUNICATION,0.04,Communication,China,Equity
000657,CHINA TUNGSTEN AND HIGHTECH MATERI,0.04,Materials,China,Equity
601009,BANK OF NANJING LTD A,0.04,Financials,China,Equity
605117,NINGBO DEYE TECHNOLOGY LTD A,0.04,Industrials,China,Equity
601229,BANK OF SHANGHAI LTD A,0.04,Financials,China,Equity
000988,HUAGONG TECH LTD A,0.04,Information Technology,China,Equity
600489,ZHONGJIN GOLD CORP LTD A,0.04,Materials,China,Equity
600893,AECC AVIATION POWER LTD A,0.04,Industrials,China,Equity
300442,RANGE INTELLIGENT COMPUTING TECHNO,0.04,Information Technology,China,Equity
300433,LENS TECHNOLOGY LTD A,0.04,Information Technology,China,Equity
600690,HAIER SMART HOME LTD A,0.04,Consumer Discretionary,China,Equity
600016,CHINA MINSHENG BANKING CORP LTD A,0.04,Financials,China,Equity
601336,NEW CHINA LIFE INSURANCE LTD A,0.04,Financials,China,Equity
688521,VERISILICON MICROELECTRONICS (SHAN,0.04,Information Technology,China,Equity
600547,SHANDONG GOLD-MINING LTD A,0.04,Materials,China,Equity
002493,RONGSHENG PETRO CHEMICAL LTD A,0.04,Materials,China,Equity
600089,TBEA LTD A,0.04,Industrials,China,Equity
603799,ZHEJIANG HUAYOU COBALT LTD A,0.04,Industrials,China,Equity
1066,SHANDONG WEIGAO GP MEDICAL POLYMER,0.04,Health Care,China,Equity
600010,INNER MONGOLIA BAOTOU STEEL UNION,0.04,Materials,China,Equity
000776,GF SECURITIES LTD A,0.04,Financials,China,Equity
601888,CHINA TOURISM GROUP DUTY FREE CORP,0.04,Consumer Discretionary,China,Equity
600522,JIANGSU ZHONGTIAN TECHNOLOGY LTD A,0.04,Industrials,China,Equity
600926,BANK OF HANGZHOU LTD A,0.04,Financials,China,Equity
002709,GUANGZHOU TINCI MATERIALS TECHNOLO,0.04,Materials,China,Equity
688072,PIOTECH INC A,0.04,Information Technology,China,Equity
600905,CHINA THREE GORGES RENEWABLES(GROU,0.04,Utilities,China,Equity
603501,OMNIVISION INTEGRATED CIRCUITS GRO,0.04,Information Technology,China,Equity
002230,IFLYTEK LTD A,0.04,Information Technology,China,Equity
601012,LONGI GREEN ENERGY TECHNOLOGY LTD,0.04,Information Technology,China,Equity
600999,CHINA MERCHANTS SECURITIES LTD A,0.04,Financials,China,Equity
000425,XCMG CONSTRUCTION MACHINERY LTD A,0.04,Industrials,China,Equity
600660,FUYAO GLASS INDUSTRY GROUP LTD A,0.04,Consumer Discretionary,China,Equity
600188,YANKUANG ENERGY GROUP LTD A,0.04,Energy,China,Equity
601689,NINGBO TUOPU GROUP CLS LTD A,0.04,Consumer Discretionary,China,Equity
300604,HANGZHOU CHANG CHUAN TECHNOLOGY LT,0.04,Information Technology,China,Equity
688111,BEIJING KINGSOFT OFFICE SOFTWARE I,0.04,Information Technology,China,Equity
600875,DONGFANG ELECTRIC CORP LTD A,0.04,Industrials,China,Equity
002602,ZHEJIANG CENTURY HUATONG GROUP LTD,0.04,Communication,China,Equity
600673,GUANGDONG HEC TECHNOLOGY HOLDING L,0.04,Materials,China,Equity
000977,INSPUR ELECTRONIC INFORMATION INDU,0.04,Information Technology,China,Equity
000807,YUNNAN ALUMINIUM LTD A,0.04,Materials,China,Equity
000651,GREE ELECTRIC APPLIANCES INC OF ZH,0.04,Consumer Discretionary,China,Equity
002466,TIANQI LITHIUM INDUSTRIES CORP A,0.03,Materials,China,Equity
600418,ANHUI JIANGHUAI AUTOMOBILE CORP LT,0.03,Consumer Discretionary,China,Equity
601169,BANK OF BEIJING LTD A,0.03,Financials,China,Equity
601868,CHINA ENERGY ENGINEERING CORP LTD,0.03,Industrials,China,Equity
605499,EASTROC BEVERAGE (GROUP) LTD A,0.03,Consumer Staples,China,Equity
002600,LINGYI ITECH (GUANGDONG) A,0.03,Information Technology,China,Equity
000166,SHENWAN HONGYUAN GROUP LTD A,0.03,Financials,China,Equity
601006,DAQIN RAILWAY LTD A,0.03,Industrials,China,Equity
600886,SDIC POWER HOLDINGS LTD A,0.03,Utilities,China,Equity
