Ticker,Security Name,Weight (%),Sector,Country,Asset Class
ADIB,ABU DHABI ISLAMIC BANK,0.07,Financials,United Arab Emirates,Equity
3328,BANK OF COMMUNICATIONS LTD H,0.07,Financials,China,Equity
TRENT,TRENT LTD,0.07,Consumer Discretionary,India,Equity
LTM,LATAM AIRLINES GROUP SA,0.06,Industrials,Chile,Equity
CEZ,CEZ,0.06,Utilities,Czech Republic,Equity
CIPLA,CIPLA LTD,0.06,Health Care,India,Equity
5880,TAIWAN COOPERATIVE FINANCIAL HOLDI,0.06,Financials,Taiwan,Equity
CUMMINSIND,CUMMINS INDIA LTD,0.06,Industrials,India,Equity
247540,ECOPRO BM LTD,0.06,Industrials,Korea (South),Equity
BIMAS.E,BIM BIRLESIK MAGAZALAR A,0.06,Consumer Staples,Turkey,Equity
015760,KOREA ELECTRIC POWER CORP,0.06,Utilities,Korea (South),Equity
XP,XP CLASS A INC,0.06,Financials,Brazil,Equity
NPH,NORTHAM PLATINUM HLDGS LTD,0.06,Materials,South Africa,Equity
071050,KOREA INVESTMENT HOLDINGS LTD,0.06,Financials,Korea (South),Equity
688,CHINA OVERSEAS LAND INVESTMENT LTD,0.06,Real Estate,China,Equity
BAJAJ-AUTO,BAJAJ AUTO LTD,0.06,Consumer Discretionary,India,Equity
DMART,AVENUE SUPERMARTS LTD,0.06,Consumer Staples,India,Equity
BBAS3,BANCO DO BRASIL SA,0.06,Financials,Brazil,Equity
9901,NEW ORIENTAL EDUCATION & TECHNOLOG,0.06,Consumer Discretionary,China,Equity
SOL,SASOL LTD,0.06,Materials,South Africa,Equity
ALPHA,ALPHA BANK SA,0.06,Financials,Greece,Equity
TATAPOWER,TATA POWER LTD,0.06,Utilities,India,Equity
2082,ACWA POWER CO,0.06,Utilities,Saudi Arabia,Equity
079550,LIG DEFENSE&AEROSPACE LTD,0.06,Industrials,Korea (South),Equity
CHOLAFIN,CHOLAMANDALAM INVESTMENT AND FINAN,0.06,Financials,India,Equity
DRREDDY,DR REDDYS LABORATORIES LTD,0.06,Health Care,India,Equity
TMPV,TATA MOTORS PASSENGER VEHICLES LTD,0.06,Consumer Discretionary,India,Equity
TATACONSUM,TATA CONSUMER PRODUCTS LTD,0.06,Consumer Staples,India,Equity
601138,FOXCONN INDUSTRIAL INTERNET LTD A,0.06,Information Technology,China,Equity
JIOFIN,JIO FINANCIAL SERVICES LTD,0.06,Financials,India,Equity
VBBR3,VIBRA ENERGIA SA,0.06,Consumer Discretionary,Brazil,Equity
BAJAJFINSV,BAJAJ FINSERV LTD,0.06,Financials,India,Equity
CPALL.R,CP ALL NON-VOTING DR PCL,0.06,Consumer Staples,Thailand,Equity
VBL,VARUN BEVERAGES LTD,0.06,Consumer Staples,India,Equity
3533,LOTES LTD,0.06,Information Technology,Taiwan,Equity
2395,ADVANTECH LTD,0.06,Information Technology,Taiwan,Equity
PFC,POWER FINANCE CORPORATION LTD,0.06,Financials,India,Equity
PFCIBEST,GRUPO CIBEST PREF SA,0.06,Financials,Colombia,Equity
NED,NEDBANK GROUP LTD,0.06,Financials,South Africa,Equity
2603,EVERGREEN MARINE CORP (TAIWAN) LTD,0.06,Industrials,Taiwan,Equity
1177,SINO BIOPHARMACEUTICAL LTD,0.06,Health Care,China,Equity
278470,APR LTD,0.06,Consumer Staples,Korea (South),Equity
COMI,COMMERCIAL INTERNATIONAL BANK EGYP,0.06,Financials,Egypt,Equity
3481,INNOLUX CORP,0.06,Information Technology,Taiwan,Equity
3692,HANSOH PHARMACEUTICAL GROUP LTD,0.06,Health Care,China,Equity
20,SENSETIME GROUP CLASS B INC,0.06,Information Technology,China,Equity
267,CITIC LTD,0.06,Industrials,China,Equity
6446,PHARMAESSENTIA CORP,0.06,Health Care,Taiwan,Equity
2002,CHINA STEEL CORP,0.06,Materials,Taiwan,Equity
EBP,ERSTE BANK POLSKA SA,0.06,Financials,Poland,Equity
